# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-01-27 13:01:18 -05:00	(nadww02)
#
# Data-value grade codes included in this output:
#    0    Undefined
#    91    IV verification DV <= 1 percent diff
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08012285 BAYOU QUEUE DE TORTUE NEAR INDIAN BAYOU,LA.
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08012285
#    TS_ID       Parameter Description
#    221892      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	221892_00060	221892_00060_cd
USGS	08012285	1997-02-07 00:00	CST	27.0	A:[91]
USGS	08012285	1997-02-07 00:15	CST	22.0	A:[91]
USGS	08012285	1997-02-07 00:30	CST	27.0	A:[91]
USGS	08012285	1997-02-07 00:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 01:00	CST	13.0	A:[91]
USGS	08012285	1997-02-07 01:15	CST	18.0	A:[91]
USGS	08012285	1997-02-07 01:30	CST	27.0	A:[91]
USGS	08012285	1997-02-07 01:45	CST	18.0	A:[91]
USGS	08012285	1997-02-07 02:00	CST	22.0	A:[91]
USGS	08012285	1997-02-07 02:15	CST	22.0	A:[91]
USGS	08012285	1997-02-07 02:30	CST	18.0	A:[91]
USGS	08012285	1997-02-07 02:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 03:00	CST	22.0	A:[91]
USGS	08012285	1997-02-07 03:15	CST	27.0	A:[91]
USGS	08012285	1997-02-07 03:30	CST	27.0	A:[91]
USGS	08012285	1997-02-07 03:45	CST	27.0	A:[91]
USGS	08012285	1997-02-07 04:00	CST	27.0	A:[91]
USGS	08012285	1997-02-07 04:15	CST	22.0	A:[91]
USGS	08012285	1997-02-07 04:30	CST	18.0	A:[91]
USGS	08012285	1997-02-07 04:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 05:00	CST	18.0	A:[91]
USGS	08012285	1997-02-07 05:15	CST	22.0	A:[91]
USGS	08012285	1997-02-07 05:30	CST	13.0	A:[91]
USGS	08012285	1997-02-07 05:45	CST	18.0	A:[91]
USGS	08012285	1997-02-07 06:00	CST	18.0	A:[91]
USGS	08012285	1997-02-07 06:15	CST	18.0	A:[91]
USGS	08012285	1997-02-07 06:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 06:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 07:00	CST	18.0	A:[91]
USGS	08012285	1997-02-07 07:15	CST	18.0	A:[91]
USGS	08012285	1997-02-07 07:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 07:45	CST	13.0	A:[91]
USGS	08012285	1997-02-07 08:00	CST	13.0	A:[91]
USGS	08012285	1997-02-07 08:15	CST	18.0	A:[91]
USGS	08012285	1997-02-07 08:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 08:45	CST	17.0	A:[91]
USGS	08012285	1997-02-07 09:00	CST	22.0	A:[91]
USGS	08012285	1997-02-07 09:15	CST	17.0	A:[91]
USGS	08012285	1997-02-07 09:30	CST	17.0	A:[91]
USGS	08012285	1997-02-07 09:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 10:00	CST	26.0	A:[91]
USGS	08012285	1997-02-07 10:15	CST	26.0	A:[91]
USGS	08012285	1997-02-07 10:30	CST	26.0	A:[91]
USGS	08012285	1997-02-07 10:45	CST	39.0	A:[91]
USGS	08012285	1997-02-07 11:00	CST	39.0	A:[91]
USGS	08012285	1997-02-07 11:15	CST	39.0	A:[91]
USGS	08012285	1997-02-07 11:30	CST	39.0	A:[91]
USGS	08012285	1997-02-07 11:45	CST	43.0	A:[91]
USGS	08012285	1997-02-07 12:00	CST	43.0	A:[91]
USGS	08012285	1997-02-07 12:15	CST	43.0	A:[91]
USGS	08012285	1997-02-07 12:30	CST	43.0	A:[91]
USGS	08012285	1997-02-07 12:45	CST	43.0	A:[91]
USGS	08012285	1997-02-07 13:00	CST	43.0	A:[91]
USGS	08012285	1997-02-07 13:15	CST	43.0	A:[91]
USGS	08012285	1997-02-07 13:30	CST	52.0	A:[91]
USGS	08012285	1997-02-07 13:45	CST	47.0	A:[91]
USGS	08012285	1997-02-07 14:00	CST	52.0	A:[91]
USGS	08012285	1997-02-07 14:15	CST	56.0	A:[91]
USGS	08012285	1997-02-07 14:30	CST	56.0	A:[91]
USGS	08012285	1997-02-07 14:45	CST	43.0	A:[91]
USGS	08012285	1997-02-07 15:00	CST	43.0	A:[91]
USGS	08012285	1997-02-07 15:15	CST	39.0	A:[91]
USGS	08012285	1997-02-07 15:30	CST	34.0	A:[91]
USGS	08012285	1997-02-07 15:45	CST	30.0	A:[91]
USGS	08012285	1997-02-07 16:00	CST	13.0	A:[91]
USGS	08012285	1997-02-07 16:15	CST	13.0	A:[91]
USGS	08012285	1997-02-07 16:30	CST	21.0	A:[91]
USGS	08012285	1997-02-07 16:45	CST	26.0	A:[91]
USGS	08012285	1997-02-07 17:00	CST	26.0	A:[91]
USGS	08012285	1997-02-07 17:15	CST	30.0	A:[91]
USGS	08012285	1997-02-07 17:30	CST	30.0	A:[91]
USGS	08012285	1997-02-07 17:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 18:00	CST	30.0	A:[91]
USGS	08012285	1997-02-07 18:15	CST	30.0	A:[91]
USGS	08012285	1997-02-07 18:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 18:45	CST	26.0	A:[91]
USGS	08012285	1997-02-07 19:00	CST	13.0	A:[91]
USGS	08012285	1997-02-07 19:15	CST	17.0	A:[91]
USGS	08012285	1997-02-07 19:30	CST	17.0	A:[91]
USGS	08012285	1997-02-07 19:45	CST	22.0	A:[91]
USGS	08012285	1997-02-07 20:00	CST	26.0	A:[91]
USGS	08012285	1997-02-07 20:15	CST	26.0	A:[91]
USGS	08012285	1997-02-07 20:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 20:45	CST	13.0	A:[91]
USGS	08012285	1997-02-07 21:00	CST	8.60	A:[91]
USGS	08012285	1997-02-07 21:15	CST	4.30	A:[91]
USGS	08012285	1997-02-07 21:30	CST	13.0	A:[91]
USGS	08012285	1997-02-07 21:45	CST	17.0	A:[91]
USGS	08012285	1997-02-07 22:00	CST	17.0	A:[91]
USGS	08012285	1997-02-07 22:15	CST	17.0	A:[91]
USGS	08012285	1997-02-07 22:30	CST	22.0	A:[91]
USGS	08012285	1997-02-07 22:45	CST	17.0	A:[91]
USGS	08012285	1997-02-07 23:00	CST	13.0	A:[91]
USGS	08012285	1997-02-07 23:15	CST	13.0	A:[91]
USGS	08012285	1997-02-07 23:30	CST	13.0	A:[91]
USGS	08012285	1997-02-07 23:45	CST	13.0	A:[91]
USGS	08012285	1997-02-08 00:00	CST	17.0	A:[91]
USGS	08012285	1997-02-08 00:15	CST	13.0	A:[91]
USGS	08012285	1997-02-08 00:30	CST	17.0	A:[91]
USGS	08012285	1997-02-08 00:45	CST	13.0	A:[91]
USGS	08012285	1997-02-08 01:00	CST	13.0	A:[91]
USGS	08012285	1997-02-08 01:15	CST	4.30	A:[91]
USGS	08012285	1997-02-08 01:30	CST	13.0	A:[91]
USGS	08012285	1997-02-08 01:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 02:00	CST	8.60	A:[91]
USGS	08012285	1997-02-08 02:15	CST	13.0	A:[91]
USGS	08012285	1997-02-08 02:30	CST	17.0	A:[91]
USGS	08012285	1997-02-08 02:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 03:00	CST	8.60	A:[91]
USGS	08012285	1997-02-08 03:15	CST	13.0	A:[91]
USGS	08012285	1997-02-08 03:30	CST	8.50	A:[91]
USGS	08012285	1997-02-08 03:45	CST	13.0	A:[91]
USGS	08012285	1997-02-08 04:00	CST	17.0	A:[91]
USGS	08012285	1997-02-08 04:15	CST	16.0	A:[91]
USGS	08012285	1997-02-08 04:30	CST	15.0	A:[91]
USGS	08012285	1997-02-08 04:45	CST	15.0	A:[91]
USGS	08012285	1997-02-08 05:00	CST	14.0	A:[91]
USGS	08012285	1997-02-08 05:15	CST	13.0	A:[91]
USGS	08012285	1997-02-08 05:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 05:45	CST	17.0	A:[91]
USGS	08012285	1997-02-08 06:00	CST	25.0	A:[91]
USGS	08012285	1997-02-08 06:15	CST	17.0	A:[91]
USGS	08012285	1997-02-08 06:30	CST	13.0	A:[91]
USGS	08012285	1997-02-08 06:45	CST	13.0	A:[91]
USGS	08012285	1997-02-08 07:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 07:15	CST	25.0	A:[91]
USGS	08012285	1997-02-08 07:30	CST	13.0	A:[91]
USGS	08012285	1997-02-08 07:45	CST	17.0	A:[91]
USGS	08012285	1997-02-08 08:00	CST	17.0	A:[91]
USGS	08012285	1997-02-08 08:15	CST	21.0	A:[91]
USGS	08012285	1997-02-08 08:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 08:45	CST	17.0	A:[91]
USGS	08012285	1997-02-08 09:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 09:15	CST	13.0	A:[91]
USGS	08012285	1997-02-08 09:30	CST	13.0	A:[91]
USGS	08012285	1997-02-08 09:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 10:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 10:15	CST	8.50	A:[91]
USGS	08012285	1997-02-08 10:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 10:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 11:00	CST	25.0	A:[91]
USGS	08012285	1997-02-08 11:15	CST	17.0	A:[91]
USGS	08012285	1997-02-08 11:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 11:45	CST	13.0	A:[91]
USGS	08012285	1997-02-08 12:00	CST	25.0	A:[91]
USGS	08012285	1997-02-08 12:15	CST	33.0	A:[91]
USGS	08012285	1997-02-08 12:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 12:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 13:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 13:15	CST	17.0	A:[91]
USGS	08012285	1997-02-08 13:30	CST	12.0	A:[91]
USGS	08012285	1997-02-08 13:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 14:00	CST	25.0	A:[91]
USGS	08012285	1997-02-08 14:15	CST	21.0	A:[91]
USGS	08012285	1997-02-08 14:30	CST	29.0	A:[91]
USGS	08012285	1997-02-08 14:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 15:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 15:15	CST	25.0	A:[91]
USGS	08012285	1997-02-08 15:30	CST	21.0	A:[91]
USGS	08012285	1997-02-08 15:45	CST	17.0	A:[91]
USGS	08012285	1997-02-08 16:00	CST	21.0	A:[91]
USGS	08012285	1997-02-08 16:15	CST	21.0	A:[91]
USGS	08012285	1997-02-08 16:30	CST	12.0	A:[91]
USGS	08012285	1997-02-08 16:45	CST	16.0	A:[91]
USGS	08012285	1997-02-08 17:00	CST	12.0	A:[91]
USGS	08012285	1997-02-08 17:15	CST	16.0	A:[91]
USGS	08012285	1997-02-08 17:30	CST	16.0	A:[91]
USGS	08012285	1997-02-08 17:45	CST	21.0	A:[91]
USGS	08012285	1997-02-08 18:00	CST	12.0	A:[91]
USGS	08012285	1997-02-08 18:15	CST	25.0	A:[91]
USGS	08012285	1997-02-08 18:30	CST	12.0	A:[91]
USGS	08012285	1997-02-08 18:45	CST	8.20	A:[91]
USGS	08012285	1997-02-08 19:00	CST	25.0	A:[91]
USGS	08012285	1997-02-08 19:15	CST	25.0	A:[91]
USGS	08012285	1997-02-08 19:30	CST	20.0	A:[91]
USGS	08012285	1997-02-08 19:45	CST	16.0	A:[91]
USGS	08012285	1997-02-08 20:00	CST	20.0	A:[91]
USGS	08012285	1997-02-08 20:15	CST	16.0	A:[91]
USGS	08012285	1997-02-08 20:30	CST	12.0	A:[91]
USGS	08012285	1997-02-08 20:45	CST	16.0	A:[91]
USGS	08012285	1997-02-08 21:00	CST	16.0	A:[91]
USGS	08012285	1997-02-08 21:15	CST	16.0	A:[91]
USGS	08012285	1997-02-08 21:30	CST	20.0	A:[91]
USGS	08012285	1997-02-08 21:45	CST	16.0	A:[91]
USGS	08012285	1997-02-08 22:00	CST	20.0	A:[91]
USGS	08012285	1997-02-08 22:15	CST	16.0	A:[91]
USGS	08012285	1997-02-08 22:30	CST	20.0	A:[91]
USGS	08012285	1997-02-08 22:45	CST	16.0	A:[91]
USGS	08012285	1997-02-08 23:00	CST	20.0	A:[91]
USGS	08012285	1997-02-08 23:15	CST	20.0	A:[91]
USGS	08012285	1997-02-08 23:30	CST	16.0	A:[91]
USGS	08012285	1997-02-08 23:45	CST	20.0	A:[91]
USGS	08012285	1997-02-09 00:00	CST	20.0	A:[91]
USGS	08012285	1997-02-09 00:15	CST	16.0	A:[91]
USGS	08012285	1997-02-09 00:30	CST	16.0	A:[91]
USGS	08012285	1997-02-09 00:45	CST	24.0	A:[91]
USGS	08012285	1997-02-09 01:00	CST	20.0	A:[91]
USGS	08012285	1997-02-09 01:15	CST	16.0	A:[91]
USGS	08012285	1997-02-09 01:30	CST	20.0	A:[91]
USGS	08012285	1997-02-09 01:45	CST	20.0	A:[91]
USGS	08012285	1997-02-09 02:00	CST	16.0	A:[91]
USGS	08012285	1997-02-09 02:15	CST	20.0	A:[91]
USGS	08012285	1997-02-09 02:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 02:45	CST	16.0	A:[91]
USGS	08012285	1997-02-09 03:00	CST	24.0	A:[91]
USGS	08012285	1997-02-09 03:15	CST	20.0	A:[91]
USGS	08012285	1997-02-09 03:30	CST	24.0	A:[91]
USGS	08012285	1997-02-09 03:45	CST	24.0	A:[91]
USGS	08012285	1997-02-09 04:00	CST	16.0	A:[91]
USGS	08012285	1997-02-09 04:15	CST	7.90	A:[91]
USGS	08012285	1997-02-09 04:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 04:45	CST	20.0	A:[91]
USGS	08012285	1997-02-09 05:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 05:15	CST	20.0	A:[91]
USGS	08012285	1997-02-09 05:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 05:45	CST	7.90	A:[91]
USGS	08012285	1997-02-09 06:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 06:15	CST	16.0	A:[91]
USGS	08012285	1997-02-09 06:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 06:45	CST	12.0	A:[91]
USGS	08012285	1997-02-09 07:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 07:15	CST	7.90	A:[91]
USGS	08012285	1997-02-09 07:30	CST	20.0	A:[91]
USGS	08012285	1997-02-09 07:45	CST	16.0	A:[91]
USGS	08012285	1997-02-09 08:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 08:15	CST	7.90	A:[91]
USGS	08012285	1997-02-09 08:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 08:45	CST	12.0	A:[91]
USGS	08012285	1997-02-09 09:00	CST	16.0	A:[91]
USGS	08012285	1997-02-09 09:15	CST	12.0	A:[91]
USGS	08012285	1997-02-09 09:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 09:45	CST	16.0	A:[91]
USGS	08012285	1997-02-09 10:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 10:15	CST	12.0	A:[91]
USGS	08012285	1997-02-09 10:30	CST	12.0	A:[91]
USGS	08012285	1997-02-09 10:45	CST	27.0	A:[91]
USGS	08012285	1997-02-09 11:00	CST	20.0	A:[91]
USGS	08012285	1997-02-09 11:15	CST	12.0	A:[91]
USGS	08012285	1997-02-09 11:30	CST	19.0	A:[91]
USGS	08012285	1997-02-09 11:45	CST	12.0	A:[91]
USGS	08012285	1997-02-09 12:00	CST	16.0	A:[91]
USGS	08012285	1997-02-09 12:15	CST	16.0	A:[91]
USGS	08012285	1997-02-09 12:30	CST	19.0	A:[91]
USGS	08012285	1997-02-09 12:45	CST	12.0	A:[91]
USGS	08012285	1997-02-09 13:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 13:15	CST	16.0	A:[91]
USGS	08012285	1997-02-09 13:30	CST	19.0	A:[91]
USGS	08012285	1997-02-09 13:45	CST	19.0	A:[91]
USGS	08012285	1997-02-09 14:00	CST	19.0	A:[91]
USGS	08012285	1997-02-09 14:15	CST	12.0	A:[91]
USGS	08012285	1997-02-09 14:30	CST	15.0	A:[91]
USGS	08012285	1997-02-09 14:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 15:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 15:15	CST	15.0	A:[91]
USGS	08012285	1997-02-09 15:30	CST	7.70	A:[91]
USGS	08012285	1997-02-09 15:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 16:00	CST	19.0	A:[91]
USGS	08012285	1997-02-09 16:15	CST	17.0	A:[91]
USGS	08012285	1997-02-09 16:30	CST	15.0	A:[91]
USGS	08012285	1997-02-09 16:45	CST	12.0	A:[91]
USGS	08012285	1997-02-09 17:00	CST	10.0	A:[91]
USGS	08012285	1997-02-09 17:15	CST	7.70	A:[91]
USGS	08012285	1997-02-09 17:30	CST	15.0	A:[91]
USGS	08012285	1997-02-09 17:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 18:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 18:15	CST	15.0	A:[91]
USGS	08012285	1997-02-09 18:30	CST	15.0	A:[91]
USGS	08012285	1997-02-09 18:45	CST	15.0	A:[91]
USGS	08012285	1997-02-09 19:00	CST	12.0	A:[91]
USGS	08012285	1997-02-09 19:15	CST	15.0	A:[91]
USGS	08012285	1997-02-09 19:30	CST	3.80	A:[91]
USGS	08012285	1997-02-09 19:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 20:00	CST	7.70	A:[91]
USGS	08012285	1997-02-09 20:15	CST	7.70	A:[91]
USGS	08012285	1997-02-09 20:30	CST	7.70	A:[91]
USGS	08012285	1997-02-09 20:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 21:00	CST	3.80	A:[91]
USGS	08012285	1997-02-09 21:15	CST	3.80	A:[91]
USGS	08012285	1997-02-09 21:30	CST	7.70	A:[91]
USGS	08012285	1997-02-09 21:45	CST	7.70	A:[91]
USGS	08012285	1997-02-09 22:00	CST	11.0	A:[91]
USGS	08012285	1997-02-09 22:15	CST	3.80	A:[91]
USGS	08012285	1997-02-09 22:30	CST	3.80	A:[91]
USGS	08012285	1997-02-09 22:45	CST	15.0	A:[91]
USGS	08012285	1997-02-09 23:00	CST	11.0	A:[91]
USGS	08012285	1997-02-09 23:15	CST	15.0	A:[91]
USGS	08012285	1997-02-09 23:30	CST	3.80	A:[91]
USGS	08012285	1997-02-09 23:45	CST	15.0	A:[91]
USGS	08012285	1997-02-10 00:00	CST	11.0	A:[91]
USGS	08012285	1997-02-10 00:15	CST	7.60	A:[91]
USGS	08012285	1997-02-10 00:30	CST	7.60	A:[91]
USGS	08012285	1997-02-10 00:45	CST	3.80	A:[91]
USGS	08012285	1997-02-10 01:00	CST	7.60	A:[91]
USGS	08012285	1997-02-10 01:15	CST	11.0	A:[91]
USGS	08012285	1997-02-10 01:30	CST	15.0	A:[91]
USGS	08012285	1997-02-10 01:45	CST	7.60	A:[91]
USGS	08012285	1997-02-10 02:00	CST	7.60	A:[91]
USGS	08012285	1997-02-10 02:15	CST	7.60	A:[91]
USGS	08012285	1997-02-10 02:30	CST	3.80	A:[91]
USGS	08012285	1997-02-10 02:45	CST	11.0	A:[91]
USGS	08012285	1997-02-10 03:00	CST	7.60	A:[91]
USGS	08012285	1997-02-10 03:15	CST	3.80	A:[91]
USGS	08012285	1997-02-10 03:30	CST	3.80	A:[91]
USGS	08012285	1997-02-10 03:45	CST	3.80	A:[91]
